outcome,domain,variance_weighted_abs_loading,normalized_variance_weighted_contribution,n_features
victimization,Sociodemographic indicators,0.5567604252475091,0.4409492738658422,7
victimization,Household composition,0.2838005334845795,0.22476748254355897,6
victimization,Social support,0.10254128449063127,0.08121177958601125,3
victimization,Pornography exposure,0.08212106338885995,0.06503914723161369,1
victimization,Substance use,0.0696401556843914,0.05515438003210335,2
victimization,Running away,0.05574428341809334,0.044148973563364696,1
victimization,Self-efficacy,0.040226178066987785,0.03185877301022427,2
victimization,Moral domain,0.038811005107723846,0.030737968692093005,2
victimization,Impulsivity,0.03299560199664747,0.02613222147518849,3
perpetration,Sociodemographic indicators,0.5597485440934244,0.4363230260665645,7
perpetration,Household composition,0.2868978342895311,0.22363636770488654,6
perpetration,Social support,0.10474175105002273,0.08164601454689793,3
perpetration,Pornography exposure,0.08158828268139831,0.06359792583074657,1
perpetration,Substance use,0.0730058752129529,0.05690795399056368,2
perpetration,Running away,0.05638893776749207,0.0439550798711588,1
perpetration,Self-efficacy,0.04459574775557898,0.03476230856826985,2
perpetration,Moral domain,0.042084772490618774,0.03280500767388311,2
perpetration,Impulsivity,0.03382472611073155,0.026366315747029197,3
overlap,Sociodemographic indicators,0.5504671307914597,0.43677244237062834,7
overlap,Household composition,0.2860167209408379,0.22694220013564226,6
overlap,Social support,0.10518340892267838,0.083458596966494,3
overlap,Pornography exposure,0.08277928092726525,0.06568186670165295,1
overlap,Substance use,0.0673594550520992,0.053446885479899356,2
overlap,Running away,0.057188599474166345,0.0453767407186936,1
overlap,Self-efficacy,0.03999546088432716,0.03173471067940016,2
overlap,Moral domain,0.039287129919279254,0.031172679945310932,2
overlap,Impulsivity,0.03202927336670287,0.025413877002278543,3
