outcome,domain,variance_weighted_abs_loading,normalized_variance_weighted_contribution,n_features,normalized_variance_weighted_contribution_percent
victimization,Sociodemographic indicators,0.557738120568724,0.4354495935011982,7,43.54%
victimization,Household composition,0.2869713873815062,0.22405062407125553,6,22.41%
victimization,Social support,0.10368914196161558,0.08095447137741418,3,8.10%
victimization,Other,0.08230011641679151,0.06425516011394328,1,6.43%
victimization,Substance use,0.07269509936753224,0.05675611958680996,2,5.68%
victimization,Running away,0.05583265035962221,0.043590896886160184,1,4.36%
victimization,Self-efficacy,0.04343055539364234,0.03390806006304267,2,3.39%
victimization,Moral domain,0.04076926488933269,0.031830278707325854,2,3.18%
victimization,Impulsivity,0.03740646013780013,0.029204795692850213,3,2.92%
perpetration,Sociodemographic indicators,0.5597766596343607,0.43567008032218324,7,43.57%
perpetration,Household composition,0.28699657163022724,0.22336733277876247,6,22.34%
perpetration,Social support,0.10498381841041496,0.08170813808005266,3,8.17%
perpetration,Other,0.08159108457099314,0.0635017444132761,1,6.35%
perpetration,Substance use,0.0730464200078286,0.05685149447432439,2,5.69%
perpetration,Running away,0.05639631362440593,0.043892838445012905,1,4.39%
perpetration,Self-efficacy,0.044791812255377386,0.034861139897871096,2,3.49%
perpetration,Moral domain,0.043211155387681284,0.03363092621772089,2,3.36%
perpetration,Impulsivity,0.034069837514047865,0.02651630537079622,3,2.65%
overlap,Sociodemographic indicators,0.5514550958640922,0.4313402887783019,7,43.13%
overlap,Household composition,0.2893374016758157,0.2263155773320987,6,22.63%
overlap,Social support,0.1070877172759166,0.08376248082724579,3,8.38%
overlap,Other,0.08291843568126334,0.0648576144459382,1,6.49%
overlap,Substance use,0.07027967234576715,0.05497175453128595,2,5.50%
overlap,Running away,0.05730024690870705,0.04481943359312253,1,4.48%
overlap,Self-efficacy,0.04294598814614892,0.03359173769135825,2,3.36%
overlap,Moral domain,0.04095258725662765,0.03203252802626353,2,3.20%
overlap,Impulsivity,0.036191642043803776,0.028308584774384984,3,2.83%
